Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
164	73	0	2.9430322	0	0	0	0	0	5e-006	100	0	0	0	3
165	73	0	2.96097752	0	0	0	0	0	5e-006	100	0	0	0	3
166	74	0	2.97892284	0	0	0	0	0	5e-006	100	0	0	0	3
167	74	0	2.99686816	0	0	0	0	0	5e-006	100	0	0	0	3
168	75	0	3.01481347	0	0	0	0	0	5e-006	100	0	0	0	3
169	75	0	3.03275879	0	0	0	0	0	5e-006	100	0	0	0	3
170	75	0	3.05070411	0	0	0	0	0	5e-006	100	0	0	0	3
171	76	0	3.06864943	0	0	0	0	0	5e-006	100	0	0	0	3
172	76	0	3.08659475	0	0	0	0	0	5e-006	100	0	0	0	3
173	77	0	3.10454007	0	0	0	0	0	5e-006	100	0	0	0	3
174	77	0	3.12248538	0	0	0	0	0	5e-006	100	0	0	0	3
175	78	0	3.1404307	0	0	0	0	0	5e-006	100	0	0	0	3
176	78	0	3.15837602	0	0	0	0	0	5e-006	100	0	0	0	3
177	78	0	3.17632134	0	0	0	0	0	5e-006	100	0	0	0	3
178	79	0	3.19426666	0	0	0	0	0	5e-006	100	0	0	0	3
179	79	0	3.21221198	0	0	0	0	0	5e-006	100	0	0	0	3
180	80	0	3.23015729	0	0	0	0	0	5e-006	100	0	0	0	3
181	80	0	3.24810261	0	0	0	0	0	5e-006	100	0	0	0	3
182	80	0	3.26604793	0	0	0	0	0	5e-006	100	0	0	0	3
183	81	0	3.28399325	0	0	0	0	0	5e-006	100	0	0	0	3
184	81	0	3.30193857	0	0	0	0	0	5e-006	100	0	0	0	3
185	82	0	3.31988389	0	0	0	0	0	5e-006	100	0	0	0	3
186	82	0	3.3378292	0	0	0	0	0	5e-006	100	0	0	0	3
187	83	0	3.35577452	0	0	0	0	0	5e-006	100	0	0	0	3
188	83	0	3.37371984	0	0	0	0	0	5e-006	100	0	0	0	3
189	83	0	3.39166516	0	0	0	0	0	5e-006	100	0	0	0	3
190	84	0	3.40961048	0	0	0	0	0	5e-006	100	0	0	0	3
191	84	0	3.4275558	0	0	0	0	0	5e-006	100	0	0	0	3
192	85	0	3.44550111	0	0	0	0	0	5e-006	100	0	0	0	3
193	85	0	3.46344643	0	0	0	0	0	5e-006	100	0	0	0	3
194	85	0	3.48139175	0	0	0	0	0	5e-006	100	0	0	0	3
195	86	0	3.49933707	0	0	0	0	0	5e-006	100	0	0	0	3
196	86	0	3.51728239	0	0	0	0	0	5e-006	100	0	0	0	3
197	87	0	3.53522771	0	0	0	0	0	5e-006	100	0	0	0	3
198	87	0	3.55317302	0	0	0	0	0	5e-006	100	0	0	0	3
199	87	0	3.57111834	0	0	0	0	0	5e-006	100	0	0	0	3
200	88	0	3.58906366	0	0	0	0	0	5e-006	100	0	0	0	3
201	88	0	3.60700898	0	0	0	0	0	5e-006	100	0	0	0	3
202	89	0	3.6249543	0	0	0	0	0	5e-006	100	0	0	0	3
203	89	0	3.64289962	0	0	0	0	0	5e-006	100	0	0	0	3
204	90	0	3.66084493	0	0	0	0	0	5e-006	100	0	0	0	3
205	90	0	3.67879025	0	0	0	0	0	5e-006	100	0	0	0	3
206	90	0	3.69673557	0	0	0	0	0	5e-006	100	0	0	0	3
207	91	0	3.71468089	0	0	0	0	0	5e-006	100	0	0	0	3
208	91	0	3.73262621	0	0	0	0	0	5e-006	100	0	0	0	3
209	92	0	3.75057153	0	0	0	0	0	5e-006	100	0	0	0	3
210	92	0	3.76851684	0	0	0	0	0	5e-006	100	0	0	0	3
211	92	0	3.78646216	0	0	0	0	0	5e-006	100	0	0	0	3
212	93	0	3.80440748	0	0	0	0	0	5e-006	100	0	0	0	3
213	93	0	3.8223528	0	0	0	0	0	5e-006	100	0	0	0	3
214	94	0	3.84029812	0	0	0	0	0	5e-006	100	0	0	0	3
215	94	0	3.85824343	0	0	0	0	0	5e-006	100	0	0	0	3
216	94	0	3.87618875	0	0	0	0	0	5e-006	100	0	0	0	3
217	95	0	3.89413407	0	0	0	0	0	5e-006	100	0	0	0	3
218	95	0	3.91207939	0	0	0	0	0	5e-006	100	0	0	0	3
219	96	0	3.93002471	0	0	0	0	0	5e-006	100	0	0	0	3
220	96	0	3.94797003	0	0	0	0	0	5e-006	100	0	0	0	3
221	96	0	3.96591534	0	0	0	0	0	5e-006	100	0	0	0	3
222	97	0	3.98386066	0	0	0	0	0	5e-006	100	0	0	0	3
223	97	0	4.00180598	0	0	0	0	0	5e-006	100	0	0	0	3
